id,titolo_originale,titolo,anno,genere,durata,paese,voto_medio,voto_critica,voto_pubblico,voti_totali,humor,ritmo,impegno,tensione
71156,Atletu,L'Atleta,2009,Biografico,92,"USA, Germania, Etiopia",4.8,,5,5,0,0,0,0
71160,The Walk,The Walk,2015,Drammatico,100,USA,6.8,6.91,7,233,2,3,2,2
71167,Backcountry,Backcountry,2014,Drammatico,92,Canada,6.3,6.45,6,80,0,1,0,1
71187,The Editor,The Editor,2014,Commedia,102,Canada,5.6,5.5,6,7,0,0,0,0
71188,Knock Knock,Knock Knock,2015,Thriller,95,"Cile, USA",5.4,5.1,6,157,1,1,1,2
71192,The Scarlet Blade,La lama scarlatta,1963,Avventura,83,Gran Bretagna,6.7,,7,3,0,0,0,0
71204,Une heure de tranquillité,Tutti pazzi in casa mia,2014,Commedia,80,Francia,5.6,5.57,6,32,3,3,0,0
71205,Cristian e Palletta contro tutti,Cristian e Palletta contro tutti,2016,Commedia,90,Italia,6.6,7.0,6,12,2,2,1,0
71207,"Ciak, si muore","Ciak, si muore",1974,Horror,84,Italia,1.5,2.0,1,3,0,0,0,0
71209,Vergogna schifosi,Vergogna schifosi,1969,Thriller,95,Italia,2.7,2.67,,3,0,0,0,0
71210,Une femme d'honneur: Droit de garde,Il comandante Florent: Rapimento e riscatto,2003,Thriller,90,Francia,4.0,,4,3,0,0,0,0
71212,Dorothy Mills,Dorothy Mills,2008,Drammatico,102,"Irlanda, Francia",6.0,6.0,6,4,0,0,0,0
71214,Nonfilm,Nonfilm,2002,Grottesco,44,Francia,6.4,6.0,7,8,3,2,0,0
71215,Steak,Steak,2007,Grottesco,82,"Francia, Canada",6.1,6.0,6,8,3,3,1,0
71218,San Andreas,San Andreas,2015,Azione,114,USA,4.3,3.92,5,119,1,3,1,2
71220,Queen of the Desert,Queen of the Desert,2015,Biografico,125,"USA, Marocco",6.1,6.0,6,53,0,1,1,1
71222,Autómata,Automata,2014,Fantascienza,109,"Spagna, USA",6.1,6.13,6,144,0,2,2,2
